1416 918 4108 9944 190 8976 6620 9952 7882 5719 5451 6222 9935 344 5810 4386 7132 5899 616 190 8976 1820 5321 460 8976 6106 6620 4472 9199 8969 4010 5338 9103 6106 9682 8082 628 4661 5810 5843 4672 1416 867 8969 5774 948 7457 9970 4808 7703 4689 426 884 9962 9660 9103 8817 190 8976 5892 4321 1820 7958 9962 2567 7457 9750 5451 1325 5233 9021 6620 460 2664 9013 4672 4087 9793 5219 9103 2623 9851 8976 9001 7488 8981 6261 871 460 9001 7488 8983 9709 2511 8960 8969 6185 3761 1820 1571 392 5088 6156 5495 7488 5890 994 5890 6075 5890 9978 8976 1820 9001 5319 8994 4661 6036 8976 946 1325 7833 5810 4386 4472 3044 9732 5992 9103 1339 6777 6052 871 8206 8969 1396 8976 7633 1820 670 4263 266 456 2862 9028 8251 4622 7789 586 3905 5167 613 9780 9713 1124 6053 8976 9648 460 8164 8228 1416 9627 9103 9301 6195 8976 2702 5173	5
946 5920 9103 3800 9103 6765 585 5706 460 9315 9001 6057 47 2337 9775 9962 3740 8121 6052 1247 6195 6052 8976 20 8969 9001 6057 460 6106 9793 1118 6052 8976 4334 9828 2820 1247 8119 4661 6885 8976 8073 6052 5451 9969 4034 9851 9969 3346 4418 9970 6518 3763 9001 8990 2266 2820 8119 4623 6483 3496 9757 6104 5705 5914 324 171 460 6163 1120 6052 9828 8976 6165 6052 8976 1247 9780 9758 8121 3496 9027 8969 1416 2100 460 1137 6052 6095 8976 9176 1388 6195 9103 190 5145 6222 9857 9088 748 6683 9001 4106 1909 9492 6359 3049 9682 4808 3220 4696 5890 4010 3306 900 460 9001 5292 5810 3118 8994 7046 5522 2383 7176 9962 1851 4472 7232 4418 4689 3496 8981 47 2337 6104 6156 5971 9005 3855 3905 3476 460 9816 867 767	5
9757 4173 9139 9851 8976 6288 460 4386 9021 6620 4661 8976 9793 4759 3226 3926 6265 9713 7699 8969 4672 9682 8976 4200 7107 4173 6104 9943 3496 7387 4472 3754 6344 5534 585 728 5854 8976 2102 9775 9962 6162 9969 5462 9713 8472 9851 8976 4367 6095 544 5699 460 7910 8976 578 1660 9851 5415 8769 6770 2278 4010 8239 8499 7650 9851 4309 8969 9682 9545 8861 4386 4010 8976 7622 1038 9851 726 8852 3049 460 392 8976 3476 9682 2396 8994 9758 414 9545 4611 460 9420 895 460 9828 6060 8994 4661 456 3017 814 8969 7830 9509 1821 628 9750 628 8239 8769 8609 8994 4661 8533 5145 5391 4472 8976 767 7829 5167 6094 6073 3609 7024 2176 6094 6073 5611 628 9750 628 6391 6988 9503 460 6185 4203 7176 9272 9103 5068 5391 3496 3575 4264 5462	5
5806 867 8381 460 7140 8969 9021 4661 5971 965 3944 8553 8922 9103 9013 8976 8553 4661 3824 6620 4472 6590 3496 637 4545 5739 1684 460 9563 6900 3496 9027 5203 3496 4721 6900 5597 4106 9103 3800 2915 4472 6590 4672 4661 3905 4291 9851 5167 8714 9021 8553 1396 4466	3
5962 5233 9021 8553 4106 894 5518 3496 2346 1325 9682 9545 2554 9851 8976 9861 9789 4160 9472 4964 7676 4472 9864 1796 7919 4087 4301 2264 7860 8092 9125 9472 8969 8036 8994 9759 504 5132 6104 8976 9721 392 9758 8228 6195 6052 4408 9266 6104 2323 6875 670 8981 8553 9962 5467 9103 8908 5460 8969 9969 5173 8228 0 5964 3168 9864 4472 109 4333 9773 4689 159 2387 6215 9021 9682 324 7933 9125 9472 9002 4808 7940 392 8981 9836 8609 9103 2432 8976 6851 2317 5890 6058 9103 1376 8976 6185 8553 640 8983 9103 4249 4699 3496 5460 4586 7919 1747 392 9758 8228 6195 6052 8976 998 4700 865 8976 9721 6118 7985 1039 8422 7188 3129 8969 8976 9721 4011 7989 998 4636 6104 8976 7633 2317 4408 9266 6104 8976 1806 670 8981 8553 231 9103 4167 4672 7974 4106 7989 9446 6104 8976 9721 4636 7919 8533 1747 392 8555 9758 8228 6195 5890 5620 1124 4672 6117 3609 6106 6052 9969 1901 460 4672 9682 1625 9142	2
3360 6053 5292 7357 460 609 9103 867 7788 5901 9103 8976 3158 4321 7541 9545 9385 5971 9103 5528 4672 9682 2387 6215 8969 2317 641 9103 867 7788 2915 1325 8976 4318 3086 9682 8969 9021 9682 392 8969 9682 728 2787 9103 7358 9750 5292 7357 1325 7919 4808 5292 484 3086 8969 9713 5866 9103 867 4959 6377 9103 8061 2915 3710 4672 9341 8469 6118 884 5810 3211 5098 8981 2664	2
5775 8799 3203 1790 9103 68 8976 6856 585 9545 3824 460 8976 8436 9682 9545 5460 8471 9851 8239 6754 8976 7625 9682 3575 460 8861 628 4472 9000 9758 9793 9131 5640 344 9524 6104 8976 8800 9758 414 3575 460 4010 3362 8799 1465 190 105 8976 3362 9682 2348 1325 8976 1465 9682 6846 6235 8976 4874 8436 8820 9103 2264 460 3531 6195 8969 9001 5319 9474 6052 8976 9883 4173 8972 7457 6085 7730 3496 948 6156 9900 4956	3
9897 3496 8976 2018 777 4808 6223 777 8976 8553 1791 3502 9021 9735 4106 5890 1452 3496 8976 2383 9874 5651 4672 4344 4418 9969 5203 3496 8239 2348 2902 3715 670 9021 4661 9969 9735 9103 3800 2840 2743 460 867 5542 5810 3599	1
9713 3333 9591 8976 5892 7384 20 9937 324 8976 7441 3351 4672 4661 7046 426 4343 8028 8976 5892 7441 5205 460 3272 5094 8976 3519 4947 7384 8981 7860 4661 3905 9713 6163 6616 460 7613 7974 4106 4898 948 9103 6162 6616 3609 5892 5570 8619 7384 7489 9130 7678 9851 5892 5570 7684 460 5768 4672 1229 767 5524 6052 2035 9851 5810 6340 9779 6156 9682 8976 948 1412 9130 7678	3
670 5045 9272 9103 3496 6192 3599 9724 7882 9937 767 5022 9472 9103 2636 460 8976 6052 484 9344 6052 4262 8976 6483 9419 6052 460 9281 3619 6192 3599 585 8533 9118 2889 9937 4971 1325 4343 5810 4321 2641 4106 3496 8976 6052 5145 6592 460 805 3609 5810 5195 5218 5233 4106 3609 8976 4321 2636 1878 3070 3496 8894 884 4689 426 460 9766 4064 4472 8912 8496 4472 8912 9442 5892 879 609 5446 7966 4662 9984 9984 9984 4696 3855 5446 2636 4472 5810 9316 9266 8976 8769 8359 2636 3250 460 8976 4986 2636 5552 460 8976 4334 5292 3600 3049 9682 2409 460 4428 867 767 9103 9301 8976 7382 8976 7384 4661 2267 1761 4863 6052 9341 4223 9550 9851 3292 8796 4567 460 2638 6410 4689 3651 460 4689 319 3800 353 9301 4672 9962 4808 5597 3200 4472 5233	5
